Year,Agriculture,Industry,Services,GDP,Nominal GDP (mln £),Agriculture-CPI,Industry-CPI,Services-CPI,GDP Deflator
1700,100,100,100,100,76.01,100,100,100,100
1701,111.06,111.86,103.49,108.97,79.13,88.55,98.09,98.05,95.53
1702,117.74,101.11,103.02,106.16,75.83,87,95.44,97.89,93.97
1703,104.67,92.64,103.6,99.36,69.47,80.14,95.59,97.19,91.98
1704,131.25,117.02,109.11,118.29,85.54,87.76,97.21,98.61,95.13
1705,127.03,105.9,108.18,112.27,79.36,80.04,97.03,98.62,93
1706,98.72,85.36,104.57,95.07,64.3,77.83,90.6,96.16,88.97
1707,115.15,98.3,110.85,106.81,71.68,78.42,88.17,96.66,88.28
1708,91.18,127.21,115.03,113.69,79.58,89.4,88.89,98.44,92.08
1709,77.5,102.63,110.69,98.5,74.94,119.83,88.3,98.84,100.09
1710,72.16,86.85,107.55,89.55,69.92,123.59,91.76,99.45,102.72
1711,93.15,88.52,113.16,97.64,70.73,102.51,89.4,96.92,95.3
1712,100.32,88.52,106.9,97.55,68.42,93.51,88.66,95.9,92.27
1713,77.25,94.18,105.75,93.36,67.23,98.06,90.72,97.13,94.73
1714,95.81,103.42,107.51,102.7,75.76,104.78,91.47,97.8,97.05
1715,84.36,104.17,107.09,99.82,70.08,89.71,89.85,97.82,92.36
1716,85.43,109.93,110.57,103.59,72.99,96.68,86.42,97.47,92.7
1717,95.93,117.14,110.75,109.43,77.98,94.07,90.12,98.15,93.74
1718,115.79,117.51,113.02,115.61,82.65,89.02,93.82,98.53,94.05
1719,95.74,124.85,113.89,113.58,79.41,86.97,90.92,97.51,91.98
1720,132.44,119.72,112.54,120.82,87.89,97.64,90.51,100.79,95.7
1721,128.66,112.8,109.9,116.11,80.63,90.28,86.42,98.62,91.35
1722,118.29,118.67,114.84,117.34,79.62,83.25,87.4,96.7,89.27
1723,109.72,118.42,113.51,114.53,79.65,86.44,89.04,98.87,91.49
1724,114.3,112.9,113.23,113.38,78.9,89.04,87.59,98.74,91.54
1725,117.2,116.95,114.84,116.34,82.76,95.98,87.73,99.16,93.59
1726,100.41,119.29,114.6,112.75,82.16,101.28,88.78,100.51,95.87
1727,104.66,114.1,115.62,112.07,79.8,98.18,87.7,97.65,93.68
1728,121.71,110.75,116.41,115.48,87.14,117.81,86.19,100.67,99.26
1729,117.67,101.09,112.19,109.07,80.37,107.29,87.92,99.96,96.94
1730,113.61,108.64,113.64,111.56,76.74,88.42,85.41,98.78,90.49
1731,110.48,106.4,113.6,109.79,74.86,84.54,86.51,98.14,89.7
1732,131.29,110.47,113.77,117.09,77.54,78.33,85.12,97.05,87.12
1733,130.55,115.88,115.53,119.68,80.33,79.22,86.28,98.49,88.3
1734,125.58,115.69,118.57,119.25,80.32,83.81,84.9,97.4,88.61
1735,115.53,115.05,118.93,116.42,79.72,90.43,83.34,98.49,90.08
1736,146.2,115.65,119.62,125.07,85.28,89.46,83.32,98.12,89.7
1737,142.6,104.38,116.23,118.38,79.01,85.58,82.23,96.86,87.8
1738,130.79,115.45,118.7,120.59,79.57,83.46,81.67,96.25,86.81
1739,130.63,113.22,119.2,119.78,79.49,85.36,81.17,96.84,87.3
1740,128.32,109.91,119.1,117.77,84.72,106.48,84.27,98.15,94.64
1741,131.6,113.82,122.18,121.21,88.12,109.22,83.69,99.45,95.64
1742,141.84,112.44,123.69,124,87.87,100.36,85.31,98.13,93.23
1743,128.12,113.09,125.41,121.08,84.43,88.97,89.86,98.6,91.74
1744,117.84,114.66,126.94,119.39,82.52,84.66,90.16,99.7,90.93
1745,121.74,116.09,127.37,121.15,81.68,82.7,87.17,98.07,88.7
1746,128.98,119.81,128.55,124.95,86.92,87.01,89.73,99.87,91.52
1747,149.49,117.56,131.3,130.65,89.12,87.51,86.93,97.17,89.75
1748,128.01,126.82,134.06,129.25,89.68,91.07,87.99,97.44,91.28
1749,128.96,123.53,134.74,128.48,89.9,95.15,88.01,96.07,92.05
1750,128.05,134.33,128.84,130.35,91.06,92.63,87.17,98.93,91.9
1751,123.97,129.51,129.24,127.53,89.72,95.65,86.81,98.61,92.55
1752,137.62,134.42,131.2,133.81,97.18,100.63,89.27,100.45,95.54
1753,140.16,135.33,131.64,134.99,96.15,98.55,86.35,100.07,93.7
1754,136.3,129.39,130.3,131.21,92.8,97.94,83.85,101.54,93.04
1755,136.53,136.16,134.18,135.19,93.88,92.17,84.77,100.52,91.36
1756,133.48,128.58,138.4,132.9,96.63,101.25,87.77,102.02,95.66
1757,156.44,132.04,138.54,140.55,109.35,121.55,88.33,103.58,102.35
1758,162.92,129.78,141.6,142.51,110,115.22,90.65,104.15,101.55
1759,157.39,133.4,148.59,144.76,103.46,97.04,87.53,101.07,94.02
1760,164.73,134.03,154.32,148.97,106.46,96.26,85.47,104.22,94.01
1761,172.38,138.75,160.28,154.9,108.27,90.04,85.11,103.94,91.96
1762,161.68,137.24,157.93,150.59,107.3,96.02,85.47,103.56,93.74
1763,163.45,137.74,154.5,150.1,112.86,109.31,87.22,105.46,98.92
1764,161.33,147.11,145.54,150.03,113.52,109.52,88.63,105.54,99.54
1765,153.5,147.99,147.26,148.82,113.45,112.94,87.23,106.39,100.29
1766,132.91,165.99,149.45,150.8,117.02,116.98,87.87,107.51,102.08
1767,159.15,153.3,145.65,151.84,122.14,127.87,88.92,107.9,105.82
1768,165.81,151.94,145.94,153.24,118.48,119.73,85.47,106.68,101.72
1769,181.86,158.14,151.5,161.9,119.79,105.99,84.71,106.56,97.34
1770,164.75,157.19,153.32,157.48,117.04,106.16,84.22,108.35,97.78
1771,175.42,157.35,153.2,160.42,125.64,122.39,84.47,109.52,103.03
1772,150.74,163.36,154.26,156.32,126.52,131.56,84.67,111.61,106.48
1773,175.8,154.97,151.73,159.11,129.43,135.44,83.35,111.31,107.02
1774,169.25,148.65,153.68,155.57,128.55,137.5,85.53,112.1,108.71
1775,173.61,157.17,155.21,160.54,133.7,132.15,89.75,114.69,109.56
1776,179.92,159.1,163.22,165.74,135.82,119.25,93.6,116.55,107.81
1777,186.98,162.69,167.58,170.53,143.64,121.46,98.51,118.09,110.81
1778,179.95,164.96,167.2,169.34,142.46,122.14,98.03,117.58,110.67
1779,184.17,157.61,170.68,168.88,136.92,110.54,97.51,116.36,106.66
1780,197.19,163.51,176.25,176.6,142.39,109.37,98.19,114.78,106.07
1781,216.93,157.48,176.83,181.63,165.61,120.45,118.54,122.51,119.96
1782,193.06,170.26,183.77,179.82,164.51,124.14,116.39,123.83,120.36
1783,188.08,181.25,176,178.89,160.81,138.45,106.33,120.07,118.26
1784,192.25,177.48,177.35,179.6,153.78,134.42,97.67,117.15,112.65
1785,176.83,182.9,184.18,178.35,151.47,129.37,98.59,116.86,111.73
1786,188.48,188.85,176.29,181.47,164,128.61,113.14,120.34,118.89
1787,168.89,196.1,180.39,178.44,159.01,126.1,110.67,120.31,117.23
1788,166.82,195.28,182,178.04,152.66,127.7,100.84,118.44,112.81
1789,171.08,199.22,185.94,182.02,153.86,132.78,95.26,117.09,111.21
1790,195.53,211.5,191.13,195.83,170.82,135.94,96.84,123.49,114.75
1791,194.33,209.8,196.38,196.67,171.38,133.16,98.01,123.65,114.64
1792,197.48,227.4,200.57,204.58,190.64,135.58,111.1,129.09,122.59
1793,198.72,213.73,201.98,201.26,185.33,143.38,101.57,131.3,121.14
1794,170.14,212.13,212.82,194.75,180.16,148.7,98.57,132.99,121.7
1795,213.31,220.43,224.61,215.9,223.46,167.38,115.1,141.88,136.17
1796,212.44,231.71,226.67,219.77,234.21,185.05,112.46,144.66,140.2
1797,206.52,218.95,239.54,218.18,231.92,164.95,120.24,148.13,139.84
1798,211.48,224.2,235.98,220.28,240.31,155.84,132.23,150.44,143.52
1799,204.05,245.94,240.75,226.06,263.61,176.51,138.89,156.73,153.4
1800,201.88,280.42,244.12,237.08,307.66,246.98,130.47,168.79,170.72
1801,236.65,257.22,236.7,239.21,329.4,276.55,134.36,173.89,181.16
1802,223.84,256.69,258.11,241.93,275.85,196,115.13,162.88,150
1803,211.05,265.41,247.81,236.81,267.47,181.66,117.69,165.7,148.59
1804,202.69,269.16,252.05,236.57,282.83,185.15,131.13,172.16,157.29
1805,228.33,277.94,260.88,250.93,309.5,216.76,118.88,180.02,162.26
1806,222.91,270.29,270.34,249.93,310.86,208.03,125.13,182.43,163.62
1807,239.87,293.83,280.26,266.27,335.56,215.46,123.02,186.3,165.79
1808,234.74,267.68,272.32,253.8,324.1,224.8,121.93,187.59,168
1809,238.8,274.43,285.67,261.76,359.78,241.02,138.57,193.18,180.82
1810,231.46,319.62,301.79,278.62,399.74,255.28,142.28,202.01,188.74
1811,210.47,334.54,300.56,275.7,381.31,249.07,129.47,202.45,181.95
1812,209.72,306.52,293.11,264.3,389.41,291.02,129.84,207.46,193.83
1813,253.46,297.72,299.83,278.67,420.24,281.99,140.28,214.34,198.39
1814,221.96,293.73,316.73,272.48,395.41,239.11,149.71,210.7,190.91
1815,235.69,338.51,348.5,301.63,409,213.92,139.69,204,178.38
1816,224.54,317.11,332.27,285.79,363.05,207.92,123.18,195.56,167.12
1817,242.95,340.4,306.74,290.59,381.1,238.62,119.06,194.96,172.53
1818,223.09,357.47,310.19,290.28,394.56,245.63,128.81,196.34,178.82
1819,216.35,351.71,307.98,285.48,365.26,236.11,113.59,191.11,168.32
1820,261.48,365.07,319.3,308.7,369.34,211.91,105.76,185.73,157.4
1821,258.56,377.47,328.03,313.99,349.54,187.16,98.07,178.28,146.45
1822,251.86,391.32,341.44,320.1,331.56,161.22,93,168.72,136.27
1823,255.04,417,347.33,329.58,350.68,173.3,93.92,172.74,139.98
1824,262.92,453.39,364.32,347.7,380.39,196.04,93.48,175.04,143.92
1825,263.34,481.55,367.29,355.57,428.74,212.73,106.47,187.8,158.63
1826,241.53,442.94,362.11,336.52,370.78,201.53,91.05,180.38,144.95
1827,263.55,488.73,380.25,362.5,388.49,200.89,86.21,177.69,140.99
1828,235.26,517.7,392.3,363.61,386.41,196.27,86.36,175.91,139.8
1829,245.45,515.19,392.08,366.7,373,186.71,80.42,173.32,133.82
1830,253.77,553.78,403.24,383.17,389.96,185.87,81.02,172.79,133.89
1831,258.84,561.97,405.39,387.79,382.15,187.19,75.19,170.22,129.64
1832,279.8,574.79,408.81,399.85,400.34,176.46,82.05,168.49,131.72
1833,261.04,600.42,418.87,402.9,385.39,165.29,77.79,163.72,125.84
1834,266.43,617.54,428.41,412.67,407.2,167.07,82.43,166.28,129.82
1835,308.18,661.2,442.19,443.67,433.34,160.27,82.31,165.64,128.49
1836,293.71,697.43,471.56,458.5,481.1,171.95,88.93,177.09,138.04
1837,303.66,696.05,452.82,454.34,471.66,177.51,85.21,177.06,136.57
1838,305.33,735.03,473.45,472.24,492.7,182.9,85.08,176.86,137.26
1839,290.02,739.11,477.55,469.19,504.13,194.7,87.1,180.1,141.36
1840,313.45,769.15,496.33,492.29,496.3,194.7,78.57,169.35,132.63
1841,289.7,758.98,500.29,482.78,473.8,185.82,75.49,168.6,129.11
1842,315.59,704.01,496.49,478.06,438.58,173.09,67.99,162.97,120.69
1843,315.78,757.71,524.81,501.9,443.39,159.63,64.99,161.27,116.22
1844,346.01,852.11,552.72,546.07,477,164.41,63.87,157.05,114.92
1845,326.09,941.48,581.87,571.1,514.53,168.95,66.22,161.6,118.52
1846,319.09,943.86,586.81,571.05,515.82,173.46,65.7,161.41,118.83
1847,339.22,888.22,583.94,564.43,552.79,203.93,69.35,171.05,128.84
1848,319.21,955.12,622.67,588.07,506.79,168.76,60.81,156.08,113.37
1849,337.18,948.9,647.59,603.23,503.87,155.25,59.82,153.58,109.89
1850,309.69,957.4,654.29,597.75,467.84,140.27,54.12,150.21,102.97
1851,323.22,"1,004.41",681.99,624.71,468.19,139.22,49.89,145.25,98.6
1852,344.76,"1,062.36",698.03,652.48,505.46,146.21,51.82,148.53,101.91
1853,297.48,"1,170.25",735.92,675.23,579.9,172.83,55.43,163.43,112.98
1854,370.04,"1,191.00",738.7,707.87,654.69,193.79,59.51,172.65,121.67
1855,339.09,"1,156.11",747.55,691.94,634.86,199.12,57.47,171.02,120.71
1856,341.15,"1,233.88",816.26,738.22,681.24,198.53,59.35,169.82,121.4
1857,322.47,"1,296.40",818.99,746.91,666.78,190.69,58.25,163.32,117.44
1858,344.26,"1,224.31",807.19,733.51,605.76,169.37,52.91,156.38,108.64
1859,319.35,"1,330.58",845.22,764.17,672.45,171.59,59.64,164.53,115.77
1860,281.6,"1,393.48",883.98,780.36,705.9,189.42,57,171.28,119.01
1861,308.78,"1,344.20",882.94,778.54,710.54,191.74,57,173.51,120.07
1862,300.16,"1,271.69",854.89,747.35,694.88,185.94,62.6,172.43,122.32
1863,409.4,"1,351.72",889.12,819.82,825.67,181.49,75.57,181.2,132.5
1864,408.52,"1,419.23",912.14,844.34,891.82,172.67,86.25,184.86,138.96
1865,361.29,"1,519.33",954.5,867.09,867.03,188.72,72.93,179.89,131.55
1866,354.66,"1,583.85",997.97,896.99,896.97,198.81,70.42,179.94,131.55
1867,359.02,"1,583.78","1,009.97",903.39,883.1,207.32,63.26,180.59,128.6
1868,386.47,"1,667.02","1,053.11",950.05,911.59,203.37,61.47,178.53,126.23
1869,398.12,"1,667.06","1,070.23",961.2,949.07,197.73,64.62,186.62,129.9
1870,383.66,"1,813.19","1,112.36","1,006.59",1026.13,195.61,70.43,189.51,134.11
